Tag1,Tag2,OERatio,Count1,Count2,Count12,CountAll
"login","openid","29.5897043526105","293","397","92","37412"
"deleted-answers","deleted-questions","18.5548458895824","249","332","41","37412"
"retag-request","tag-synonyms","14.5559038662487","522","517","105","37412"
"close-reasons","vote-to-close","12.9383751646395","267","509","47","37412"
"badge-request","badges","12.7027414715285","237","1106","89","37412"
"formatting","markdown","12.4754192073171","256","492","42","37412"
"closed-questions","close-reasons","10.9732412797256","498","267","39","37412"
"suggested-edits","tag-wiki","10.5088706868462","638","279","50","37412"
"down-votes","up-votes","10.3397740927662","584","285","46","37412"
"exact-duplicates","vote-to-close","9.63437823199325","473","509","62","37412"
"openid","user-accounts","9.48113903053388","397","328","33","37412"
"closed-questions","specific-question","9.12327869352172","498","527","64","37412"
"moderation","moderator-tools","7.61873526259378","311","300","19","37412"
"hyperlinks","markdown","7.35372545083476","486","492","47","37412"
"flagging","moderation","7.29556859448263","742","311","45","37412"
"review","suggested-edits","7.24757845796203","356","638","44","37412"
"login","status-norepro","6.74763450706179","293","246","13","37412"
"delete","deleted-answers","6.6891676294218","292","249","13","37412"
"retag-request","stackoverflow","6.58080228126049","522","3093","284","37412"
"retag-request","tags","6.25455021224632","522","2372","207","37412"
"delete","user-accounts","5.85929669228199","292","328","15","37412"
"delete","deleted-questions","5.7887027562304","292","332","15","37412"
"deleted-questions","specific-question","5.77332479824421","332","527","27","37412"
"close-reasons","exact-duplicates","5.62849292506988","267","473","19","37412"
"close-reasons","specific-question","5.58352344199731","267","527","21","37412"
"down-votes","voting","5.56467668911075","584","944","82","37412"
"up-votes","voting","5.56229556943206","285","944","40","37412"
"tags","tag-synonyms","5.24727885942051","2372","517","172","37412"
"closed-questions","vote-to-close","5.16573168903512","498","509","35","37412"
"accepted-answer","answers","5.11528573719437","545","1087","81","37412"
"editing","suggested-edits","5.05219299177306","1033","638","89","37412"
"closed-questions","exact-duplicates","4.92359289165117","498","473","31","37412"
"favorite-tags","tags","4.8761826911937","262","2372","81","37412"
"bug","status-norepro","4.76542792544527","6638","246","208","37412"
"flagging","moderator-tools","4.70591194968553","742","300","28","37412"
"login","user-accounts","4.6714392741197","293","328","12","37412"
"bug","status-bydesign","4.60267400523843","6638","1069","873","37412"
"privileges","reputation","4.11965937454118","252","1946","54","37412"
"editing","etiquette","4.1070647997525","1033","388","44","37412"
"accepted-answer","unanswered-questions","4.10234292189042","545","251","15","37412"
"user-accounts","users","3.99576666148827","328","314","11","37412"
"formatting","hyperlinks","3.90911136831276","256","486","13","37412"
"accepted-answer","etiquette","3.89229168637094","545","388","22","37412"
"deleted-answers","moderation","3.86492594170896","249","311","8","37412"
"answers","questions","3.8138491757627","1087","1480","164","37412"
"asking-questions","etiquette","3.76651095360825","512","388","20","37412"
"favorite-tags","user-interface","3.73806002957516","262","764","20","37412"
"answers","etiquette","3.72562334620017","1087","388","42","37412"
"privileges","tag-wiki","3.72481083233771","252","279","7","37412"
"bounty","unanswered-questions","3.68029118095519","729","251","18","37412"
"asking-questions","new-users","3.63215003654971","512","342","17","37412"
"closed-questions","deleted-questions","3.62045773455267","498","332","16","37412"
"accepted-answer","up-votes","3.61294060840174","545","285","15","37412"
"close-reasons","moderation","3.60436913664993","267","311","8","37412"
"moderation","vote-to-close","3.54506345586517","311","509","15","37412"
"badge-request","status-declined","3.52533216069353","237","806","18","37412"
"data-explorer","login","3.5201656017176","399","293","11","37412"
"privileges","suggested-edits","3.49044633527392","252","638","15","37412"
"comments","notifications","3.47368874828809","1314","459","56","37412"
"favorite-tags","unanswered-questions","3.41339983577142","262","251","6","37412"
"migration","vote-to-close","3.28920058567134","581","509","26","37412"
"comments","markdown","3.24069742980535","1314","492","56","37412"
"notifications","privileges","3.23442957429886","459","252","10","37412"
"down-votes","new-users","3.18435071697509","584","342","17","37412"
"flagging","vote-to-close","3.16985368488501","742","509","32","37412"
"down-votes","etiquette","3.13703925999153","584","388","19","37412"
"search","users","3.13543412671807","760","314","20","37412"
"community-wiki","specific-question","3.04245052859854","350","527","15","37412"
"bug","status-completed","3.02961675368339","6638","5114","2749","37412"
"markdown","status-bydesign","2.98756531063907","492","1069","42","37412"
"flagging","review","2.97424210303159","742","356","21","37412"
"migration","specific-question","2.93248243720341","581","527","24","37412"
"badge-request","feature-request","2.90182991106647","237","10499","193","37412"
"stackoverflow","tag-synonyms","2.90109631719719","3093","517","124","37412"
"migration","moderation","2.89869445628172","581","311","14","37412"
"asking-questions","questions","2.86356630067568","512","1480","58","37412"
"reputation","up-votes","2.83316925407043","1946","285","42","37412"
"closed-questions","delete","2.83003245860153","498","292","11","37412"
"specific-question","unanswered-questions","2.82830726430143","527","251","10","37412"
"migration","moderator-tools","2.79033849684452","581","300","13","37412"
"answers","deleted-answers","2.76447094726653","1087","249","20","37412"
"editing","privileges","2.73063507429432","1033","252","19","37412"
"tags","tag-wiki","2.71352155070808","2372","279","48","37412"
"retag-request","support","2.69649785020637","522","8904","335","37412"
"comments","hyperlinks","2.69486567575524","1314","486","46","37412"
"feature-request","status-declined","2.65264540141717","10499","806","600","37412"
"etiquette","exact-duplicates","2.650094810488","388","473","13","37412"
"unanswered-questions","up-votes","2.61494373383658","251","285","5","37412"
"new-users","privileges","2.60456697298803","342","252","6","37412"
"comments","up-votes","2.59743117306203","1314","285","26","37412"
"profile-page","user-accounts","2.59229490022173","704","328","16","37412"
"closed-questions","migration","2.58604123896619","498","581","20","37412"
"privileges","tag-synonyms","2.58441558441558","252","517","9","37412"
"careers","status-completed","2.56777708251858","1000","5114","351","37412"
"delete","unanswered-questions","2.55225672651858","292","251","5","37412"
"search","unanswered-questions","2.54957014049067","760","251","13","37412"
"accepted-answer","bounty","2.54243968739382","545","729","27","37412"
"openid","support","2.50832388466056","397","8904","237","37412"
"delete","moderation","2.47183191648681","292","311","6","37412"
"moderation","new-users","2.46219514488257","311","342","7","37412"
"discussion","etiquette","2.44734796234451","13632","388","346","37412"
"data-explorer","status-completed","2.42019989355477","399","5114","132","37412"
"close-reasons","migration","2.41170138015948","267","581","10","37412"
"formatting","status-norepro","2.37627032520325","256","246","4","37412"
"close-reasons","meta","2.35778594065111","267","416","7","37412"
"down-votes","reputation","2.33729533007645","584","1946","71","37412"
"comments","formatting","2.33558076484018","1314","256","21","37412"
"questions","unanswered-questions","2.31634542909443","1480","251","23","37412"
"down-votes","meta","2.30991504214963","584","416","15","37412"
"status-declined","user-interface","2.30869265846466","806","764","38","37412"
"comments","status-declined","2.29611626650955","1314","806","65","37412"
"answers","up-votes","2.29451088623122","1087","285","19","37412"
"data-explorer","user-accounts","2.28693685433095","399","328","8","37412"
"deleted-answers","specific-question","2.28081967338043","249","527","8","37412"
"support","user-accounts","2.28019470558587","8904","328","178","37412"
"status-completed","tag-wiki","2.254989115549","5114","279","86","37412"
"comments","delete","2.24264506578261","1314","292","23","37412"
"hyperlinks","status-bydesign","2.23233128149457","486","1069","31","37412"
"privileges","status-bydesign","2.22204404056602","252","1069","16","37412"
"etiquette","questions","2.21511563109501","388","1480","34","37412"
"accepted-answer","new-users","2.20790814957884","545","342","11","37412"
"migration","stackexchange","2.19608763922927","581","821","28","37412"
"delete","specific-question","2.18806373632087","292","527","9","37412"
"bug","markdown","2.17651756210241","6638","492","190","37412"
"community-wiki","editing","2.17301064859632","350","1033","21","37412"
"delete","exact-duplicates","2.16699006632106","292","473","8","37412"
"markdown","status-norepro","2.16375834490052","492","246","7","37412"
"specific-question","stackoverflow","2.15748728076068","527","3093","94","37412"
"new-users","user-interface","2.14774501699274","342","764","15","37412"
"search","tags","2.13756767551256","760","2372","103","37412"
"exact-duplicates","flagging","2.13194440487113","473","742","20","37412"
"data-explorer","openid","2.12564155981894","399","397","9","37412"
"up-votes","users","2.09028941781205","285","314","5","37412"
"review","vote-to-close","2.0646343347829","356","509","10","37412"
"editing","notifications","2.05149879678665","1033","459","26","37412"
"asking-questions","unanswered-questions","2.03781748007968","512","251","7","37412"
"login","support","2.03632221128518","293","8904","142","37412"
"profile-page","users","2.03090619571511","704","314","12","37412"
"stackoverflow","tags","2.0295483082345","3093","2372","398","37412"
"new-users","reputation","2.02369232433602","342","1946","36","37412"
"login","stackexchange","2.02182471222558","293","821","13","37412"
